true_dept,true_priority,pred_dept,pred_priority,dept_correct,prio_correct,fast_path,rewrite_score,rewrite_reason,reasoning_score,reasoning_reason,routing_score,routing_reason
Returns and Exchanges,low,Sales and Pre-Sales,low,0,1,0,3,"The rewrite preserves the original meaning and key details with clean, professional wording and no added assumptions or injected vocabulary.",2,"The justification is broadly correct and aligns the ticket content with Sales/Pre-Sales and low urgency, but it provides no concrete evidence such as model confidence scores, retrieved policy chunks, or explicit priority criteria references.",1,"The department routing is incorrect because the true department is Returns and Exchanges while the ticket was sent to Sales and Pre-Sales, even though the low priority is appropriate for an informational compatibility question."
Customer Service,high,Human Resources,medium,0,0,0,3,"The rewrite preserves all original meaning and details with only minor punctuation changes, maintaining a clean and professional tone.",2,"The reasoning cites a specific transformer confidence (98.1%) and gives a generic priority rationale, but it provides no concrete ticket-based evidence for routing to Human Resources (and no RAG chunk evidence) beyond asserting there is no contradiction.",1,"The ticket is a customer complaint about onboarding documentation and an unresponsive onboarding specialist, which should route to Customer Service (not HR) and is high priority due to the need for prompt follow-up and guidance."
Sales and Pre-Sales,low,Sales and Pre-Sales,low,1,1,0,3,"The rewrite preserves the original meaning and details with only a minor grammatical tweak, without adding assumptions or new terminology.",2,"The reasoning is broadly plausible (sales materials and low urgency) but provides no concrete evidence like confidence percentages, retrieved department chunks, or explicit priority criteria beyond generic statements.",3,"The ticket explicitly concerns outdated sales brochures and a cybersecurity data sheet referencing legacy capabilities, which fits Sales and Pre-Sales ownership of sales materials, and it’s a non-urgent documentation refresh so low priority is justified."
Human Resources,high,Human Resources,low,1,0,0,3,The rewrite preserves all key details and meaning with only minor wording adjustments and no added assumptions or injected vocabulary.,3,"It cites a specific transformer confidence score (99.2%) and ties the HR routing to the ticket’s employee training focus, while explicitly applying priority criteria (future rollout, no urgency/blocker) to justify low priority.",1,"While the department assignment to Human Resources is correct, the priority is wrong because security awareness and HIPAA compliance training for all staff is typically high priority, making the low-priority rationale insufficient."
Human Resources,high,Human Resources,low,1,0,0,3,The rewrite preserves all original meaning and key details with only minor wording adjustments and no added assumptions or injected vocabulary.,2,"It cites a specific transformer confidence (99.2%) and gives a plausible rationale for HR and low priority, but provides no RAG chunk evidence or concrete priority criteria beyond generic statements.",1,"While the department assignment to Human Resources is correct, the priority is wrong because a HIPAA and phishing security awareness program is compliance- and risk-critical and should be treated as high priority despite the next-quarter rollout."
Billing and Payments,high,Billing and Payments,low,1,0,0,3,"The rewritten ticket is identical to the original, preserving all meaning and details without adding assumptions or new terminology.",3,"It cites a specific transformer confidence (99.7%) and directly ties the ticket’s downgrade/credit/invoice question to Billing and Payments, while justifying low priority using the explicit 'for future reference' wording indicating no urgency.",2,"The department is correctly identified as Billing and Payments, but the priority is misclassified as low versus the true high despite the reasoning citing it as a general future-reference question."
Customer Service,low,Human Resources,medium,0,0,0,3,"The rewritten ticket is identical to the original, preserving all meaning and key details without adding assumptions or new vocabulary.",2,"It cites a specific transformer confidence (98.0%) and gives a plausible priority rationale, but provides no concrete RAG evidence (e.g., retrieved chunk/department) and the justification remains generic.",1,"The ticket is about a customer's onboarding experience and requests follow-up guidance, so it should route to Customer Service (not Human Resources), and the medium priority is not well supported given the low urgency indicated."
Returns and Exchanges,medium,Sales and Pre-Sales,low,0,0,0,3,"The rewrite preserves the original meaning and key details with clear, professional wording and no added assumptions or injected vocabulary.",2,"The justification matches the ticket content but is generic and provides no concrete evidence such as model confidence scores, retrieved knowledge chunks, or explicit priority criteria beyond a general lack of urgency.",1,"The ticket is a pre-purchase product compatibility inquiry (fits Sales/Pre-Sales), but the provided true labels indicate both department and priority are mismatched, so the routing decision is scored as incorrect."
Human Resources,medium,Human Resources,low,1,0,0,3,The rewrite preserves all original meaning and key details with only minor grammatical smoothing and no added assumptions or vocabulary.,2,"It cites a specific transformer confidence (99.2%) and gives a plausible rationale for HR and low priority, but provides no concrete RAG chunk evidence or explicit priority criteria beyond generic statements.",2,"The department assignment to Human Resources is correct for an employee training program, but the priority is misclassified as low despite a stated target rollout next quarter and organization-wide compliance/security scope suggesting at least medium urgency."
Sales and Pre-Sales,low,Sales and Pre-Sales,low,1,1,0,3,"The rewrite preserves the original meaning and details with only a minor grammatical tweak, without adding assumptions or new terminology.",2,"The justification is broadly plausible (sales materials imply Sales/Pre-Sales and low urgency), but it provides no concrete evidence like confidence percentages, retrieved department chunks, or explicit priority criteria beyond generic statements.",3,"The ticket explicitly flags outdated feature descriptions in sales brochures and a cybersecurity data sheet, which fits Sales/Pre-Sales ownership of sales materials, and it’s a non-urgent refresh request supporting low priority."
Customer Service,medium,Human Resources,low,0,0,0,3,"The rewritten ticket is identical to the original, preserving all meaning and key details without adding assumptions or new vocabulary.",2,"It cites a specific transformer confidence (98.0%) and gives a generic priority rationale, but provides no concrete ticket-based evidence or RAG chunk support for routing to Human Resources (the issue sounds more like Customer Success/Support).",1,"The ticket is about onboarding support and outdated documentation requiring follow-up, which belongs to Customer Service with at least medium priority, so routing to Human Resources and marking low is incorrect."
Technical & IT Support,medium,Service Outages and Maintenance,high,0,0,0,3,"The rewritten ticket is identical to the original, preserving all details and meaning without adding assumptions or new terminology.",2,"The justification is broadly correct and ties the outage impact to the chosen department and high priority, but it provides no concrete evidence such as model confidence percentages, retrieved routing chunks, or explicit priority criteria beyond generic statements.",1,"The predicted department and priority do not match the true labels (Technical & IT Support, medium), even though the reasoning cites the VPN concentrator failure impacting ~200 users."
Billing and Payments,low,Billing and Payments,low,1,1,0,3,The rewrite preserves the original meaning and details with only a minor wording change and no added assumptions or injected vocabulary.,3,"It cites a specific transformer confidence (99.7%) for Billing and Payments and ties the low priority to concrete ticket evidence (general future-reference question with no urgency), clearly supporting both decisions.",3,"The ticket asks a general question about subscription downgrade billing/credits, which clearly fits Billing and Payments, and it’s explicitly for future reference with no urgency, supporting low priority."
Technical & IT Support,low,Service Outages and Maintenance,high,0,0,0,3,"The rewritten ticket is identical to the original, preserving all key details and meaning without adding assumptions or new terminology.",2,"The justification correctly ties the VPN concentrator outage impacting ~200 users and no workaround to the chosen department and high priority, but it provides no concrete evidence such as model confidence percentages, retrieved routing-policy chunks, or explicit priority criteria beyond generic statements.",1,"The predicted department and priority do not match the true labels (Technical & IT Support, low), even though the reasoning cites the VPN concentrator outage affecting ~200 users."
Returns and Exchanges,medium,Sales and Pre-Sales,low,0,0,0,3,"The rewrite preserves the original meaning and key details with clean, professional wording and no added assumptions or injected vocabulary.",2,"The justification matches the ticket content and notes RAG/transformer uncertainty, but it provides no concrete evidence like confidence scores, retrieved chunk details, or specific priority criteria beyond generic statements.",1,"The ticket is a pre-purchase compatibility inquiry, so routing to Returns and Exchanges and setting medium priority are incorrect despite the reasoning supporting Sales/low."
Sales and Pre-Sales,high,Sales and Pre-Sales,low,1,0,0,3,"The rewrite preserves all original meaning and details with only a minor grammatical tweak, remaining clear and professional.",2,"The justification is broadly plausible (sales materials/outdated brochures implies Sales/Pre-Sales and low urgency), but it provides no concrete evidence like confidence percentages, retrieved department chunks, or explicit priority criteria beyond generic statements.",1,"While routing to Sales and Pre-Sales is correct, the priority is wrong because outdated brochures and a cybersecurity data sheet referencing legacy interfaces can materially mislead customers and impact deals, making this high priority."
Billing and Payments,medium,Billing and Payments,low,1,0,0,3,The rewrite preserves the original meaning and details with only a minor wording change and no added assumptions or injected vocabulary.,3,"It cites a specific transformer confidence score (99.7%) and ties the low priority to concrete ticket evidence (general future-reference billing question with no urgency), clearly supporting both routing and priority decisions.",2,"The department is correctly routed to Billing and Payments, but the priority is questionable because the true priority is medium despite the ticket being framed as a general future-reference question."
Returns and Exchanges,high,Sales and Pre-Sales,low,0,0,0,3,"The rewrite preserves the original meaning and key details with clean, professional wording and no added assumptions or injected vocabulary.",2,"The justification matches the ticket content at a high level (pre-purchase compatibility question → Sales/Pre-Sales, low urgency → low priority) but provides no concrete evidence like confidence scores, retrieved knowledge chunks, or explicit priority criteria.",1,"The ticket is a pre-purchase compatibility inquiry (fits Sales/Pre-Sales) and indicates no urgency (low priority), so the provided 'true' labels of Returns/Exchanges and high priority are not supported by the ticket content."
Service Outages and Maintenance,low,Service Outages and Maintenance,high,1,0,0,3,"The rewritten ticket is identical to the original, preserving all key details with no added assumptions or vocabulary changes.",2,"The reasoning correctly ties the global outage and no-workaround impact to a high priority and the Service Outages department, but it provides no specific transformer confidence value or any concrete RAG evidence/chunk citations.",2,"The department is correctly routed to Service Outages and Maintenance, but the priority is mismatched (predicted high vs true low) despite the reasoning citing clear evidence of a global, no-workaround outage affecting all customers."
Billing and Payments,medium,Billing and Payments,low,1,0,0,3,The rewrite preserves the original meaning and details with only a minor wording change and no added assumptions or injected terminology.,3,"It cites a specific transformer confidence score (99.7%) and ties the low priority to the ticket being a general, non-urgent informational billing question, which is concrete evidence supporting both routing and priority.",2,"The department is correctly Billing and Payments, but the ticket’s question about mid-cycle downgrades and credits could impact upcoming charges, making medium priority plausible and the low-priority rationale somewhat questionable."
Customer Service,low,Human Resources,low,0,1,0,3,"The rewritten ticket is identical to the original, preserving all meaning and key details without adding assumptions or new vocabulary.",2,"It cites a specific transformer confidence (98.0%) and gives a plausible priority rationale, but provides no RAG evidence and the HR routing is not supported by concrete ticket evidence (it reads more like customer onboarding/support than HR).",1,"The department routing is incorrect because the ticket is a customer complaint about onboarding support and documentation, which belongs to Customer Service rather than Human Resources, even though the low priority is reasonable."
Returns and Exchanges,low,Sales and Pre-Sales,low,0,1,0,3,"The rewrite preserves the original meaning and key details with clean, professional wording and no added assumptions or injected vocabulary.",2,"The justification matches the ticket content but is generic and provides no concrete evidence such as model confidence scores, retrieved knowledge chunks, or explicit priority criteria beyond a general statement.",1,"The department routing is incorrect because the true department is Returns and Exchanges while the ticket was sent to Sales and Pre-Sales, even though the low priority is appropriate for an informational compatibility question."
Billing and Payments,medium,Billing and Payments,low,1,0,0,3,"The rewrite preserves the original meaning and details with only a minor wording change, remaining clear and professional without adding assumptions.",3,"It cites a specific transformer confidence (99.7%) and ties the low priority to concrete ticket evidence (general future-reference billing question with no urgency), clearly supporting both routing and priority decisions.",2,"The department is correctly Billing and Payments, but the ticket’s question about mid-cycle downgrades and credits could impact an upcoming billing decision, making medium priority plausible and the low-priority rationale somewhat questionable."
Customer Service,low,Human Resources,low,0,1,0,3,"The rewritten ticket is identical to the original, preserving all meaning and key details without adding assumptions or new vocabulary.",2,"It cites a specific transformer confidence (98.0%) and gives a generic priority rationale, but provides no RAG chunk evidence and the HR routing is not clearly supported by concrete ticket cues (it reads more like customer onboarding/support than HR).",1,"The department is misrouted because the ticket is a customer complaint about onboarding documentation and an unresponsive onboarding specialist, which belongs to Customer Service, even though the low priority assessment is reasonable."
Sales and Pre-Sales,medium,Sales and Pre-Sales,low,1,0,0,3,The rewrite preserves all original meaning and details with only a minor grammatical adjustment and no added assumptions or vocabulary changes.,1,"The reasoning is generic and provides no concrete evidence such as model confidence percentages, retrieved RAG chunks, or explicit priority criteria beyond vague assertions.",2,"The department routing to Sales and Pre-Sales fits because the ticket is about updating sales brochures/data sheets, but priority is questionable since outdated cybersecurity/interface claims could mislead customers and should be treated as at least medium rather than low."
Sales and Pre-Sales,low,Sales and Pre-Sales,low,1,1,0,3,"The rewrite preserves the original meaning and details with only a minor grammatical tweak, without adding assumptions or new terminology.",2,"The justification is plausible and aligns the ticket with Sales/Pre-Sales and low urgency, but it provides no concrete evidence such as model confidence scores, retrieved RAG chunks, or explicit priority criteria values.",3,"The ticket explicitly concerns outdated feature descriptions in sales brochures and a cybersecurity data sheet referencing a legacy interface, which fits Sales and Pre-Sales ownership of sales materials, and it is a non-urgent documentation refresh appropriate for low priority."
Sales and Pre-Sales,high,Sales and Pre-Sales,low,1,0,0,3,"The rewrite preserves the original meaning and details with only a minor grammatical adjustment, keeping the wording professional and accurate.",2,"The reasoning is broadly plausible (sales materials update, low urgency) but provides no concrete evidence like confidence percentages, retrieved department chunks, or explicit priority criteria beyond generic statements.",2,"Department routing to Sales and Pre-Sales fits the request to update sales brochures/data sheets, but labeling it low priority is questionable since incorrect cybersecurity and feature claims in customer-facing materials can be high-impact and the reasoning downplays that risk."
Sales and Pre-Sales,low,Sales and Pre-Sales,low,1,1,0,3,"The rewrite preserves the original meaning and details with only a minor grammatical tweak, remaining clear and professional without adding assumptions.",2,"The justification is broadly plausible (sales materials and low urgency) but it provides no concrete evidence such as confidence percentages, retrieved department chunks, or explicit priority criteria beyond generic statements.",3,"Department and priority match the ticket, and the reasoning correctly cites that the issue is outdated sales brochure/data sheet content (legacy interface mentioned) and is a non-urgent refresh request, supporting low priority."
Billing and Payments,high,Billing and Payments,low,1,0,0,3,The rewrite preserves the original meaning and details with only a minor wording change and no added assumptions or injected vocabulary.,3,It cites a specific transformer confidence score (99.7%) and ties the ticket’s content (general billing question for future reference) directly to Billing and Payments and to low-priority criteria due to lack of urgency.,2,"The department is correctly Billing and Payments, but the priority is misclassified as low since the true priority is high, even though the reasoning cites the ticket’s “general billing question for future reference” wording."
General Inquiry,high,General Inquiry,low,1,0,0,3,"The rewrite preserves the original meaning and request for a link to a public API changelog/release notes page, with only the nonessential 'General question' removed.",2,"The justification is broadly correct but generic, as it explains the mapping to General Inquiry and low priority without citing any concrete evidence like model confidence scores, retrieved policy chunks, or specific priority criteria thresholds.",2,"The department is correctly General Inquiry, but the priority is misclassified as low since the true priority is high, making the priority decision questionable despite reasonable ticket-based reasoning."
Returns and Exchanges,medium,Sales and Pre-Sales,low,0,0,0,3,"The rewrite preserves the original meaning and key details with clean, professional wording and no added assumptions or injected vocabulary.",2,"The justification is broadly correct and consistent with the ticket content, but it provides no concrete evidence such as model confidence scores, retrieved knowledge chunks, or explicit priority criteria beyond generic statements.",1,"The ticket is a pre-purchase compatibility question that fits Sales/Pre-Sales and low priority, but the provided true labels are Returns/Exchanges and medium, so the routing and priority are marked incorrect relative to the ground truth."
Sales and Pre-Sales,high,Sales and Pre-Sales,low,1,0,0,3,"The rewrite preserves the original meaning and details with only a minor grammatical tweak, remaining clear and professional without adding assumptions.",2,"The justification is plausible and aligns the ticket with Sales/Pre-Sales and low urgency, but it provides no concrete evidence such as confidence scores, retrieved policy chunks, or explicit priority criteria values.",2,"The department assignment fits because the ticket is about updating sales brochures and a cybersecurity data sheet, but the priority should be high since the true priority is high and outdated security/interface claims can materially mislead customers and impact deals/compliance."
Billing and Payments,medium,Billing and Payments,low,1,0,0,3,"The rewrite preserves the original meaning and details with only a minor wording change, remaining clear and professional without adding assumptions.",3,"It cites a specific transformer confidence (99.7%) and ties the low priority to concrete ticket evidence (general future-reference billing question with no urgency), clearly supporting both routing and priority decisions.",2,"The department is correctly Billing and Payments, but the ticket’s question about mid-cycle downgrades and credits could impact an upcoming billing decision, making medium priority plausible and the low-priority rationale less aligned with the true priority."
Technical & IT Support,medium,Service Outages and Maintenance,high,0,0,0,3,"The rewritten ticket is identical to the original, preserving all key details and meaning without adding assumptions or new terminology.",2,"The justification matches the ticket impact and correctly maps to outages/high priority, but it provides no concrete evidence like model confidence scores, retrieved department chunks, or explicit priority criteria values.",1,"The department is misrouted because the true department is Technical & IT Support, and while the reasoning cites the VPN outage affecting ~200 users, it does not align with the correct department and the predicted high priority conflicts with the true medium priority."
Service Outages and Maintenance,high,Service Outages and Maintenance,high,1,1,0,3,"The rewritten ticket is identical to the original, preserving all key details with no added assumptions or vocabulary changes.",3,"It cites a specific transformer confidence value (99.0%) and ties the global, no-workaround CDN outage impacting all customers to explicit business-critical unavailability criteria to justify both department and high priority.",3,"Both department and priority are correct, and the reasoning cites the ticket’s global CDN outage impacting all products worldwide with no workaround as evidence for a high-priority service outage."
General Inquiry,low,General Inquiry,low,1,1,0,3,"The rewrite preserves the original meaning and request for a link to a public API changelog/release notes page, with only the nonessential phrase ""General question"" removed.",2,"The justification matches the ticket content and gives a plausible priority rationale, but it provides no concrete evidence like model confidence scores, retrieved knowledge base chunks, or explicit priority criteria thresholds.",3,"The ticket is a straightforward request for a link to API changelog/release notes (fits General Inquiry) and indicates no urgency or active issue, supporting low priority."
Technical & IT Support,high,Service Outages and Maintenance,high,0,1,0,3,"The rewritten ticket is identical to the original, preserving all details and meaning without adding assumptions or new terminology.",2,"The justification is broadly correct and references impact/no workaround, but it provides no concrete evidence such as model confidence percentages, retrieved department/priority criteria snippets, or specific RAG chunks to substantiate the routing.",1,"Priority is correctly high, but the department is misrouted (should be Technical & IT Support), so the overall decision is incorrect despite reasoning citing the VPN outage impact."
General Inquiry,low,General Inquiry,low,1,1,0,3,"The rewrite preserves the original meaning and request for a link to a public API changelog/release notes page, with only the nonessential 'General question' removed.",2,"The justification matches the ticket content and gives a plausible priority rationale, but it provides no concrete evidence like model confidence scores, retrieved policy/chunk citations, or explicit priority criteria thresholds.",3,"The ticket is a straightforward request for a link to API changelog/release notes (fits General Inquiry) with no urgency or service impact indicated, supporting low priority."
Customer Service,medium,Human Resources,low,0,0,0,3,"The rewritten ticket is identical to the original, preserving all meaning and key details without adding assumptions or new vocabulary.",2,"It cites a specific transformer confidence (98.0%) and gives a generic urgency rationale, but provides no RAG chunk evidence and the HR routing is not clearly supported by the ticket content (it reads more like customer onboarding/support than HR).",1,"The ticket is a customer complaint about onboarding documentation and an unresponsive onboarding specialist, which should route to Customer Service with at least medium priority, so both the department and priority (and supporting reasoning) are incorrect."
Sales and Pre-Sales,medium,Sales and Pre-Sales,low,1,0,0,3,The rewrite preserves the original meaning and details with only a minor grammatical adjustment and no added assumptions or vocabulary.,2,"The justification is broadly plausible (sales brochures/data sheet imply Sales/Pre-Sales and low urgency), but it provides no concrete evidence like confidence scores, retrieved RAG chunks, or explicit priority criteria beyond generic statements.",2,"The department is correctly routed to Sales and Pre-Sales because the ticket is about updating sales brochures/data sheets, but priority is questionable since outdated cybersecurity and feature claims could mislead customers, aligning more with medium than low."
Customer Service,medium,Human Resources,low,0,0,0,3,"The rewritten ticket is identical to the original, preserving all meaning and key details without adding assumptions or new vocabulary.",2,"It cites a specific transformer confidence (98.0%) and gives a generic priority rationale, but provides no concrete RAG evidence and the HR routing is not clearly supported by the ticket content.",1,"The ticket is a customer complaint about onboarding support and requests follow-up, which should route to Customer Service with at least medium priority, so both the HR department choice and the low-priority justification are unsupported by the text."
Customer Service,low,Human Resources,low,0,1,0,3,"The rewritten ticket is identical to the original, preserving all meaning and key details without adding assumptions or new vocabulary.",2,"It cites a specific transformer confidence (98.0%) and gives a plausible priority rationale, but provides no concrete RAG evidence and the HR department choice is not clearly supported by the ticket content.",1,"The department routing is incorrect because the ticket is a customer complaint about onboarding documentation and an unresponsive onboarding specialist, which should go to Customer Service rather than Human Resources, even though the low priority is reasonable."
Service Outages and Maintenance,medium,Service Outages and Maintenance,high,1,0,0,3,"The rewritten ticket is identical to the original, preserving all key details with no added assumptions or vocabulary changes.",3,"It cites a specific transformer confidence (99.0%) and ties the ticket’s explicit facts (global outage, all customers affected, no workaround) to the stated high-priority criteria, clearly supporting both routing and priority.",2,"The department routing is correct for a global CDN outage, but the predicted high priority conflicts with the true medium priority even though the reasoning cites worldwide impact and no workaround."
Technical & IT Support,high,Service Outages and Maintenance,high,0,1,0,3,"The rewritten ticket is identical to the original, preserving all key details and meaning without adding assumptions or new terminology.",2,"The justification is broadly correct and aligns the outage impact to the chosen department and high priority, but it provides no concrete evidence such as confidence percentages, retrieved routing chunks, or explicit priority criteria beyond generic statements.",1,"Priority is correctly high, but the department is misrouted (should be Technical & IT Support) despite the reasoning citing a VPN concentrator failure impacting ~200 users and requiring immediate restoration."
Customer Service,low,Human Resources,low,0,1,0,3,"The rewritten ticket is identical to the original, preserving all meaning and key details without adding assumptions or new terminology.",2,"It cites a specific transformer confidence (98.0%) and gives a generic urgency rationale, but provides no RAG chunk evidence and the HR routing is not concretely supported by ticket-specific indicators.",1,"The department routing is incorrect because the ticket is a customer onboarding support complaint that belongs to Customer Service, even though the low priority assessment is reasonable."
Billing and Payments,high,Billing and Payments,low,1,0,0,3,The rewrite preserves the original meaning and details with only a minor wording change and no added assumptions or injected vocabulary.,3,"It cites a specific transformer confidence score (99.7%) and ties the low priority to concrete ticket evidence (general future-reference billing question with no urgency), clearly supporting both routing and priority decisions.",2,"The department is correctly routed to Billing and Payments, but the priority is misclassified as low versus the true high despite the reasoning citing it as a general future-reference question."
Service Outages and Maintenance,medium,Service Outages and Maintenance,high,1,0,0,3,"The rewritten ticket is identical to the original, preserving all meaning and key details without adding assumptions or new vocabulary.",3,"It cites a specific transformer confidence score (99.0%) for routing to Service Outages and Maintenance and ties the 'high' priority directly to concrete ticket evidence (global outage, all customers affected, no workaround, platform-wide disruption).",2,"The department routing is correct for a platform-wide outage, but the priority is misaligned with the true medium priority despite strong evidence in the ticket (global impact, all customers affected, no workaround) supporting a high severity assessment."
Sales and Pre-Sales,medium,Sales and Pre-Sales,low,1,0,0,3,"The rewrite preserves the original meaning and details with only a minor grammatical tweak, without adding assumptions or new terminology.",2,"The reasoning is broadly plausible (sales materials and low urgency) but provides no concrete evidence like confidence percentages, retrieved department chunks, or explicit priority criteria beyond generic statements.",2,"The department is correctly routed to Sales and Pre-Sales, but the priority is questionable because outdated cybersecurity and feature claims in sales materials can create compliance/reputational risk and should likely be treated as medium rather than low."
Human Resources,high,Human Resources,low,1,0,0,3,The rewrite preserves all original meaning and key details with only minor wording adjustments and no added assumptions or injected vocabulary.,3,"It cites a specific transformer confidence (99.2%) supporting Human Resources for employee training and applies explicit priority criteria (informational request, no incident/urgency) to justify low priority.",2,"The department routing to Human Resources fits an employee training request, but the model’s low priority is incorrect given the true high priority and the ticket’s compliance/security scope (HIPAA and phishing) with a next-quarter rollout deadline."
Returns and Exchanges,medium,Sales and Pre-Sales,low,0,0,0,3,"The rewrite preserves the original meaning and key details with clean, professional wording and no added assumptions or injected vocabulary.",2,"The justification matches the ticket’s pre-purchase informational nature and low urgency, but it provides no concrete evidence such as model confidence scores, retrieved knowledge chunks, or explicit priority-rule citations.",1,"The ticket is a pre-purchase compatibility inquiry, so routing it to Returns and Exchanges and assigning medium priority are both inconsistent with the ticket content, despite the reasoning supporting Sales/low."
Human Resources,high,Human Resources,low,1,0,0,3,The rewrite preserves all original meaning and key details with only minor grammatical smoothing and no added assumptions or vocabulary.,3,"It cites a specific transformer confidence (99.2%) and ties HR to employee training, and it justifies low priority using concrete ticket details (next-quarter rollout, no immediate operational impact).",1,"While routing to Human Resources is correct for an employee training program, the model’s low priority is wrong given the true high priority and the security/HIPAA compliance implications that warrant urgency despite the next-quarter rollout."
Human Resources,medium,Human Resources,low,1,0,0,3,The rewrite preserves all original meaning and key details with only minor grammatical smoothing and no added assumptions or vocabulary.,2,"It cites a specific transformer confidence (99.2%) and gives a plausible rationale from the ticket text, but provides no RAG chunk evidence or concrete priority criteria beyond generic statements.",2,"Department routing to Human Resources is correct, but priority should be medium given the security/HIPAA compliance training request and planned next-quarter rollout, making the low-priority rationale questionable."
Customer Service,low,Human Resources,low,0,1,0,3,"The rewritten ticket is identical to the original, preserving all meaning and key details without adding assumptions or new terminology.",2,"It cites a specific transformer confidence (98.0%) and gives a generic priority rationale, but provides no RAG chunk evidence and the department choice is not clearly supported by concrete ticket cues.",1,"The department routing is incorrect because the ticket is a customer complaint about onboarding support and documentation that should go to Customer Service, even though the low priority assessment is reasonable."
Sales and Pre-Sales,medium,Sales and Pre-Sales,low,1,0,0,3,The rewrite preserves the original meaning and details with only a minor grammatical adjustment and no added assumptions or vocabulary changes.,2,"The reasoning is broadly plausible (sales materials and low urgency) but provides no concrete evidence such as confidence percentages, retrieved RAG chunks, or explicit priority criteria beyond generic statements.",2,"The department routing to Sales and Pre-Sales fits because the ticket is about updating sales brochures and a cybersecurity data sheet, but priority is questionable since correcting outdated capability claims in customer-facing materials suggests at least medium urgency."
Human Resources,high,Human Resources,low,1,0,0,3,The rewrite preserves all original meaning and key details with only minor wording adjustments and no added assumptions or injected vocabulary.,2,"It cites a specific transformer confidence (99.2%) and gives a plausible rationale for HR and low priority, but provides no RAG chunk evidence or concrete priority criteria beyond generic statements.",1,"While the department assignment to Human Resources is correct, the priority is wrong because HIPAA-related security awareness training is a compliance and risk issue that should be treated as high priority despite the next-quarter rollout timeline."
Human Resources,medium,Human Resources,low,1,0,0,3,The rewrite preserves all original meaning and key details with only minor grammatical smoothing and no added assumptions or vocabulary.,2,"It cites a specific transformer confidence (99.2%) and gives a plausible rationale for HR and low priority, but provides no RAG chunk evidence or concrete priority criteria beyond generic statements about urgency.",2,"Department is correctly routed to Human Resources for employee training, but priority should be at least medium given the security/HIPAA compliance scope and next-quarter rollout, making the 'low urgency' reasoning questionable."
Technical & IT Support,low,Service Outages and Maintenance,high,0,0,0,3,"The rewritten ticket is identical to the original, preserving all key details and meaning without adding assumptions or changing vocabulary.",2,"The justification is broadly correct and ties the outage to the chosen department and high priority, but it provides no concrete evidence such as model confidence percentages, retrieved routing chunks, or explicit priority criteria beyond generic statements.",1,"The predicted department and priority are both incorrect versus the provided true labels, even though the reasoning cites the VPN outage impacting ~200 users as evidence for a high-severity incident."
Service Outages and Maintenance,low,Service Outages and Maintenance,high,1,0,0,3,"The rewritten ticket is identical to the original, preserving all key details with no added assumptions or vocabulary changes.",3,"It cites a specific transformer confidence score (99.0%) and ties both the department and high priority directly to concrete ticket facts (global outage, all customers affected, no workaround) using explicit business-critical unavailability criteria.",2,"The department matches a platform-wide outage, but the predicted high priority conflicts with the true low priority despite the ticket describing a global, no-workaround disruption affecting all customers."
Customer Service,high,Human Resources,medium,0,0,0,3,"The rewritten ticket is identical to the original, preserving all meaning and key details without adding assumptions or new vocabulary.",2,"It cites a specific transformer confidence (98.0%) and gives a plausible priority rationale, but provides no RAG chunk evidence and the department justification is generic and arguably mismatched to a customer onboarding issue.",1,"The ticket is a customer complaint about onboarding support and requests follow-up guidance, so it should route to Customer Service with high priority, making both the HR department choice and medium priority incorrect."
Human Resources,low,Human Resources,low,1,1,0,3,The rewrite preserves all original meaning and details with only minor grammatical smoothing and no added assumptions or vocabulary injection.,3,"It cites a specific transformer confidence (99.2%) and ties HR to employee training, and it justifies low priority using concrete ticket details (planned next-quarter rollout, no urgency/blocking issue).",3,"The ticket is explicitly about developing employee security awareness training for all staff next quarter, which fits Human Resources and supports a low priority as it is a planned, non-urgent initiative."
Service Outages and Maintenance,low,Service Outages and Maintenance,high,1,0,0,3,"The rewritten ticket is identical to the original, preserving all key details with no added assumptions or vocabulary changes.",3,"It cites a specific transformer confidence score (99.0%) and ties the ticket’s global, no-workaround CDN outage to explicit priority criteria (business-critical system unavailable), clearly supporting both routing and priority.",1,"While the department matches the ticket’s global outage description, the predicted priority is high but the true priority is low, so the overall routing decision is incorrect despite the reasoning citing impact."
Technical & IT Support,low,Service Outages and Maintenance,high,0,0,0,3,"The rewritten ticket is identical to the original, preserving all key details and meaning without adding assumptions or new terminology.",2,"The justification is broadly correct and ties the outage to the chosen department and high priority, but it provides no concrete evidence such as model confidence percentages, retrieved routing chunks, or explicit priority criteria beyond generic statements.",1,"The routing is incorrect because the true department is Technical & IT Support and the true priority is low, while the prediction chose Service Outages and Maintenance with high priority despite the ticket’s details."
General Inquiry,high,General Inquiry,low,1,0,0,3,"The rewrite preserves the original meaning and key details, removing only the redundant 'General question' without adding assumptions or new terminology.",2,"The reasoning matches the ticket content and gives a plausible priority rationale, but it provides no concrete evidence like model confidence scores, retrieved knowledge chunks, or explicit priority criteria references.",2,"The department is correctly General Inquiry, but the priority is wrong (true is high) and the reasoning incorrectly assumes low urgency despite the ticket’s need to track API changes and deprecations."
